Model,Group,mn_ksn,std_ksn,stde_ksn,mn_ksnqr,std_ksnqr,stde_ksnqr,mn_ksnqp,std_ksnqp,stde_ksnqp,mn_E,std_E,stde_E,p25_E,p75_E,mn_R,mn_P,cr,sr,U,perc_E_std,perc_U,int_qrt_E
bc05l,bcl,171.027285622261,4.284776374523209,0.19162102483637986,157.9697424769046,7.27115708189859,0.32517603020408503,187.6529043993617,7.343930690485737,0.32843056491946154,497.59744910168735,23.049724042886982,0.34326190836788006,494.3798390427901,503.2200287160321,2.2661175126284374,3.2297093430518347,0.543260859779038,0.543260859779038,500,4.632203015610037,-0.48051017966253085,8.840189673242037
bc1l,bcl,193.91011980489012,4.871537903997235,0.21786179816609325,197.6526981664356,8.278148731883972,0.37021006584692484,227.78836137759762,8.432537336881104,0.3771145341614239,995.507622843562,45.796687976151894,0.6820150420184068,990.547995081306,1005.3285403857444,2.7446697951803323,3.6831986235718097,0.5691180012980827,0.5691180012980827,1000,4.600335238552821,-0.44923771564380105,14.78054530443842
bc2l,bcl,219.28180675985593,7.07306806814692,0.31631722019719255,244.35335137957193,12.498544827973861,0.5589519171035593,274.95047104367933,12.623766891590881,0.5645520180341685,1996.3870151749352,90.61521119923682,1.3494630246129686,1990.9391049033732,2009.9374215895298,3.37122385769827,4.276938453842737,0.598418683205081,0.598418683205081,2000,4.538960157046333,-0.1806492412532407,18.998316686156613
bc4l,bcl,250.16170983487598,13.408692498788012,0.5996549583336303,307.49573473708085,26.160040178813627,1.1699125626790605,338.1902743361029,26.206878906507768,1.1720072542611344,3994.437634300539,513.6966429116943,7.650091152499366,3912.9319886626035,4039.2699398316836,4.232589807228263,5.093192474477153,0.6334595895376922,0.6334595895376922,4000,12.860299494991292,-0.13905914248653062,126.33795116908004
bc8l,bcl,287.5913196553921,19.24075259256224,0.8604726147044897,391.8324465130223,41.310312010133764,1.8474533165277014,422.194419672405,41.25515022163423,1.844986406350793,7954.368258048339,992.3741433180145,14.778669003432286,7743.3716787199955,8137.071719555388,5.417685588321348,6.2162217707732825,0.6748378215385743,0.6748378215385743,8000,12.475838572270233,-0.5703967743957605,393.70004083539243
bc025u_RO,bcu_R,267.87963402021256,39.70306125080724,1.7755748774328561,331.5026279636323,81.35829489014571,3.638453558156792,364.41585717169113,81.25195165482978,3.633697744094518,249.15641121609949,14.898876080153984,0.22187756462049427,247.44802130362584,253.08237397921403,5.245203286761239,6.052772806702276,1.739790149833843,1.739790149833843,250,5.979728158482675,-0.3374355135602059,5.63435267558819
bc05u_RO,bcu_R,281.7144537899308,37.315934944826324,1.6688193436118304,364.8329798469,80.8817026358785,3.6171397045949645,397.21399872319887,80.4683692322181,3.5986548728358443,498.8963145622196,26.02528696082138,0.3875746907586114,495.48120150775503,503.23930364793347,5.618520631190341,6.4065385708691664,1.782087716326955,1.782087716326955,500,5.216572301933822,-0.22073708755608548,7.758102140178437
bc1u_RO,bcu_R,297.01004460357444,34.46500254689017,1.5413217707909959,403.66406285267243,79.3808241562228,3.550018378465431,435.35197815994877,78.68805562090013,3.519036827712342,997.0987366639291,51.17070026567851,0.7620460962151102,992.9527625225091,1005.5317807198662,6.042918404168345,6.808709551426979,1.8272020192701393,1.8272020192701393,1000,5.1319591916126885,-0.29012633360708834,12.579018197357072
bc2u_RO,bcu_R,314.3293507975864,31.002549290980433,1.386476153808403,450.1311856425295,76.31144862614642,3.412751731790926,480.91414019103456,75.38788024924426,3.371448498338479,1994.5539841515747,102.8616254094986,1.5318395035962487,1987.1099313020748,2008.4224284196353,6.536471968867814,7.276414458736369,1.8765061959099063,1.8765061959099063,2000,5.157124160429929,-0.2723007924212652,21.312497117560497
bc4u_RO,bcu_R,334.3401779008461,26.712662889558352,1.1946266016217686,507.0957985052245,70.72696836294756,3.1630061820405553,536.6901097732373,69.6629108367986,3.1154200828317684,3990.4714554601487,188.7592195649605,2.81104666630033,3975.8083266266112,4018.7997239188917,7.1281640132957085,7.837118083607077,1.9317739719680942,1.9317739719680942,4000,4.730248585206189,-0.23821361349628203,42.99139729228045
