,GRDC_NO,R_AREA,H_AREA,START,END,LENGTH,MIN_Z,MN_Z,MAX_Z,E_NORM_CRLF,ERR_HI,BW,BE,BN,BS,CX,CY,R_Q,H_Q,R_R,H_R,MIN_R,MN_R,MAX_R
2337,6731010,41.7,39.4,1923,2018,96,46.0,193.77386934673368,600.0,0.0,0.0,6.606443277994458,6.794018554687284,62.56386922200511,62.50416666666649,6.714851352779417,62.532912424272105,2.387,1.53,4.945726618705036,3.3551269035532996,240.0,512.643216080402,863.0
2338,6731050,491.0,580.0,1912,2018,107,113.0,551.329596042869,1156.0,0.0,0.0,11.312933349609068,12.16446533203083,63.664713541666515,63.41769409179682,11.765970485256462,63.54580746746475,21.263,13.79,3.7415951120162934,2.0542344827586203,111.0,357.9807121661721,677.0
2339,6731070,205.0,194.4,1915,2018,104,87.0,347.4965920155794,572.0,0.0,0.0,10.190753173827773,10.609645589192496,63.926590983072686,63.75216267903636,10.387911987478963,63.840396056924064,12.426,5.04,5.237104390243902,2.24,124.0,298.71143552311435,463.0
2340,6731160,220.0,222.1,1908,2018,111,47.0,475.3544186046512,868.0,0.0,0.0,5.393104044596214,5.78707784016899,61.303487141927064,61.17083333333335,5.591610862983113,61.23987939428487,18.821,14.31,7.391520000000001,5.566789734353895,270.0,603.4697674418604,926.0
2341,6731165,505.0,491.7,1902,2018,117,129.0,812.4432127170048,1620.0,0.0,0.0,5.860458374023267,6.6437093098955415,61.50204264322906,61.241666666666504,6.289599224159217,61.37319591527106,41.337,25.39,7.072310495049506,4.461452104942038,496.0,903.0619895287958,1441.0
2342,6731175,378.0,391.2,1900,2018,119,53.0,520.1325767345886,1420.0,0.0,0.0,6.089624023437295,6.770871988932015,62.077042643229106,61.87083333333328,6.4561951203320485,61.96263417896786,22.863,17.47,5.225828571428571,3.85840490797546,550.0,939.6114123418539,1389.0
2343,6731500,3062.0,3058.0,1908,2018,111,40.0,725.2985433007843,1240.0,0.0,0.0,9.895163981119424,11.729166666666345,63.13333333333327,62.63333333333321,10.774014461067225,62.86533942992632,77.904,49.45,2.1982056172436315,1.3971484630477438,75.0,382.5527092016672,865.0
2344,6731501,3079.0,3060.3,1958,2018,61,40.0,724.8734764387856,1240.0,0.0,0.0,9.895163981119424,11.729166666666345,63.13915405273434,62.63333333333321,10.773627241668565,62.86552187174467,82.604,49.49,2.3179556999025657,1.3972277227722774,75.0,382.56022938425065,865.0
2345,6731550,237.0,213.1,1916,2018,103,112.0,333.4425438596491,640.0,0.0,0.0,10.710534667968545,11.096476236978845,64.30612386067702,64.09999999999991,10.921623079506388,64.18286594707895,12.228,6.15,4.457802531645569,2.4934772407320507,154.0,326.94432266549757,530.0
2346,6731600,756.0,728.8,1929,1990,62,321.0,777.5748774509804,1296.0,0.0,0.0,14.210534667968375,15.652773030598553,65.50733032226549,65.28827107747372,14.86920993131807,65.41245293872801,18.225,19.92,2.082857142857143,2.361536772777168,112.0,463.5896081562462,922.0
